sentence,aspect_term,begin,end,polarity
"""I bought this video game a week ago, I really liked the story, a bit boring at first, but then it becomes interesting, sometimes it gets a bit buggy, but I think it must be because my pc lacks maintenance.,""",pc,185,187,negative
A few weeks ago I tried using my Citizen's Bank card and it wouldn't work when I inserted into the machine at the store.,Citizen's Bank card,33,52,negative
"A quiet place, away from the city.",place,8,13,positive
Actually a lousy hotel.,hotel,17,22,negative
All the food was cold like it been setting out for awhile.,food,8,12,negative
"Alternative medicine allows us to have other points of view of how to improve our health in a more natural way and in some cases without having to go through an operating room, it is widely used lately",Alternative medicine,0,20,positive
Although their service was lousy.,service,15,22,negative
Always a pleasure to use.,to use,18,24,positive
Always proactively keep me up to date with changes to their site and offer the best conversion rates when it comes to currency.,conversion rates,84,100,positive
Amazon is excellent site to order anything you want but the shipments may be delayed,shipments,60,69,negative
And it is inexpensive.,it,4,6,positive
And the parking lot was in the best location.,location,36,44,positive
And the parking lot was in the best location.,parking lot,8,19,positive
And the service was very very fast!,service,8,15,positive
"And we have a great experience abut it, the person was very kind, indeed help us to bring in our home better vibes, better energy, new designs, and we learn from him a lot and it was cheap.",person,44,50,positive
"And we have a great experience abut it, the person was very kind, indeed help us to bring in our home better vibes, better energy, new designs, and we learn from him a lot and it was cheap.",experience,20,30,positive
"And we have a great experience abut it, the person was very kind, indeed help us to bring in our home better vibes, better energy, new designs, and we learn from him a lot and it was cheap.",energy,123,129,positive
"And we have a great experience abut it, the person was very kind, indeed help us to bring in our home better vibes, better energy, new designs, and we learn from him a lot and it was cheap.",vibes,109,114,positive
"Bad: very expensive compared to other services like Disney, Amazon.",services,38,46,negative
"Bad: very expensive compared to other services like Disney, Amazon.",expensive,10,19,negative
Booking.com is very easy to use and has a lot of offers and cashbacks.,Booking.com,0,11,positive
"But I didn't like that the parking lot was very small, and taxi service was hardly ever available.",taxi service,59,71,negative
"But I didn't like that the parking lot was very small, and taxi service was hardly ever available.",the parking lot,23,38,negative
But it will always be the best option.,option,31,37,positive
