sentence Id,sentence,aspect_categories,aspect_terms,polarity
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,['LOCATION#GENERAL'],['view'],['positive']
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"['SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#PRICES']","['service', 'food', 'food']","['positive', 'positive', 'positive']"
1090587:3,The lava cake dessert was incredible and I recommend it.,['FOOD#QUALITY'],['lava cake dessert'],['positive']
1661043:0,Pizza here is consistently good.,['FOOD#QUALITY'],['Pizza'],['positive']
1661043:1,Salads are a delicious way to begin the meal.,['FOOD#QUALITY'],['Salads'],['positive']
1661043:2,You should pass on the calamari.,['FOOD#QUALITY'],['calamari'],['negative']
1661043:3,It is thick and slightly soggy.,['FOOD#QUALITY'],['NULL'],['negative']
1661043:4,Decor is charming.,['AMBIENCE#GENERAL'],['Decor'],['positive']
1661043:5,Service is average.,['SERVICE#GENERAL'],['Service'],['neutral']
1349391:0,sometimes i get good food and ok service.,"['FOOD#QUALITY', 'SERVICE#GENERAL']","['food', 'service']","['positive', 'neutral']"
1349391:1,"sometimes i get bad food and bad service, sometimes i get good good and bad service.","['FOOD#QUALITY', 'SERVICE#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY']","['food', 'service', 'service', 'good']","['negative', 'negative', 'negative', 'positive']"
1349391:2,it is not consistent.,['RESTAURANT#GENERAL'],['NULL'],['negative']
1357554:0,I started out with a Bombay beer which was big enough for two.,['DRINKS#STYLE_OPTIONS'],['Bombay beer'],['positive']
1357554:2,MMmmm... it was delicious.,['FOOD#QUALITY'],['NULL'],['positive']
1357554:3,"Service was slow, but the people were friendly.","['SERVICE#GENERAL', 'SERVICE#GENERAL']","['Service', 'people']","['negative', 'positive']"
1357554:4,It's a nice place to relax and have conversation.,['AMBIENCE#GENERAL'],['place'],['positive']
1357554:5,I can't wait to go back.,['RESTAURANT#GENERAL'],['NULL'],['positive']
1730014:1,"Service here was great, food was fantastic.","['SERVICE#GENERAL', 'FOOD#QUALITY']","['Service', 'food']","['positive', 'positive']"
1730014:2,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Guacamole+shrimp appetizer', 'filet', 'frites']","['positive', 'positive', 'negative']"
1730014:3,Will absolutely visit again.,['RESTAURANT#GENERAL'],['NULL'],['positive']
1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"['AMBIENCE#GENERAL', 'RESTAURANT#GENERAL']","['trattoria', 'trattoria']","['positive', 'positive']"
1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['food', 'dishes', 'specials', 'regular menu-fare']","['positive', 'positive', 'positive', 'positive']"
1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","['FOOD#QUALITY', 'FOOD#QUALITY']","['parmesean porcini souffle', 'lamb glazed with balsamic vinegar']","['positive', 'positive']"
1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['candle-light', 'food', 'service', 'tables']","['positive', 'positive', 'positive', 'negative']"
1500453:5,A guaranteeed delight!,['RESTAURANT#GENERAL'],['NULL'],['positive']
505535:0,this little place has a cute interior decor and affordable city prices.,"['AMBIENCE#GENERAL', 'RESTAURANT#PRICES']","['interior decor', 'place']","['positive', 'positive']"
