sentence,aspect_terms,polarity
"""I bought this video game a week ago, I really liked the story, a bit boring at first, but then it becomes interesting, sometimes it gets a bit buggy, but I think it must be because my pc lacks maintenance.,""",['pc'],['negative']
A few weeks ago I tried using my Citizen's Bank card and it wouldn't work when I inserted into the machine at the store.,"[""Citizen's Bank card""]",['negative']
"A quiet place, away from the city.",['place'],['positive']
Actually a lousy hotel.,['hotel'],['negative']
All the food was cold like it been setting out for awhile.,['food'],['negative']
"Alternative medicine allows us to have other points of view of how to improve our health in a more natural way and in some cases without having to go through an operating room, it is widely used lately",['Alternative medicine'],['positive']
Although their service was lousy.,['service'],['negative']
Always a pleasure to use.,['to use'],['positive']
Always proactively keep me up to date with changes to their site and offer the best conversion rates when it comes to currency.,['conversion rates'],['positive']
Amazon is excellent site to order anything you want but the shipments may be delayed,['shipments'],['negative']
And it is inexpensive.,['it'],['positive']
And the parking lot was in the best location.,"['location', 'parking lot']","['positive', 'positive']"
And the service was very very fast!,['service'],['positive']
"And we have a great experience abut it, the person was very kind, indeed help us to bring in our home better vibes, better energy, new designs, and we learn from him a lot and it was cheap.","['person', 'experience', 'energy', 'vibes']","['positive', 'positive', 'positive', 'positive']"
"Bad: very expensive compared to other services like Disney, Amazon.","['services', 'expensive']","['negative', 'negative']"
Booking.com is very easy to use and has a lot of offers and cashbacks.,['Booking.com'],['positive']
"But I didn't like that the parking lot was very small, and taxi service was hardly ever available.","['taxi service', 'the parking lot']","['negative', 'negative']"
But it will always be the best option.,['option'],['positive']
"But overall, it was good to be there.",['there'],['positive']
"But the attention sucks, the employees arenÂ´t nice people","['attention', 'employees']","['negative', 'negative']"
"But the food was very expensive, I was hoping they would give us even free breakfast.",['food'],['negative']
"But the rest, I recommend it.",['it'],['positive']
But the rooms were very nice and immaculate.,['rooms'],['positive']
But the sound was very loud.,['sound'],['negative']
But then it got slow and the camera stopped working.,"['camera', 'it']","['negative', 'negative']"
By far my favourite and easiest to access bakery that offers not just the best quality products but also the cheapest.,"['quality products', 'bakery']","['positive', 'positive']"
"Cars are the most used means of transport today, despite their costly maintenance, they are a tool that allows us to go from one place to another; and through time it has evolved making them faster and more aerodynamic",['maintenance'],['negative']
Cash a check for the application and it was charged 2 times I had problems with an account lock so it really was not a good experience,"['account lock', 'application', 'experience']","['negative', 'negative', 'negative']"
Clean and spacious room.,['room'],['positive']
"Days ago I bought a dell laptop and it is very good, I recommend it has a good processor and the battery lasts a long time.","['dell laptop', 'battery', 'processor']","['positive', 'positive', 'positive']"
"Despite being an international company, the quality of its food and service has dropped a lot due to the high demand it has.",['quality of its food and service'],['negative']
Easy to pay for contactless and the delivery driver was more than helpful.,"['delivery driver', 'to pay']","['positive', 'positive']"
Everyone in the MetroPCS store were very friendly.,['Everyone in the MetroPCS store'],['positive']
Excellent attention.,['attention'],['positive']
Excellent customer service at the time of purchasing a ticket.,['customer service'],['positive']
Excellent experience.,['experience'],['positive']
"Excellent facilities, good amenities and with good lighting for night sporting events.","['facilities', 'amenities and with good lighting']","['positive', 'positive']"
"Excellent in sales and mounting of tires for your vehicle, with quite nice prices and credit.","['sales and mounting of tires', 'credit', 'prices']","['positive', 'positive', 'positive']"
Excellent place to spend the holidays.,['place'],['positive']
"Excellent service, very good food, the salad was incredible, the dressing was the perfect touch.","['food', 'service', 'dressing', 'salad']","['positive', 'positive', 'positive', 'positive']"
"Excellent, especially the service and amenities, sometimes you get one or another inconvenience but in general, excellent service.",['service'],['positive']
Exceptionally quick boot up and ease of access.,"['access', 'boot up']","['positive', 'positive']"
Extensive range of products that are much more fairly priced than most other brands.,"['priced', 'range of products']","['positive', 'positive']"
"First time using this online supermarket, huge range of products and offers much better prices than some competitors.","['prices', 'range of products', 'online supermarket']","['positive', 'positive', 'positive']"
Food transport trucks are very important since they distribute the food according to the required demand.,['Food transport trucks'],['positive']
"Food trucks its the best idea possible, its cheap, fast, tasty and super cool, serve your food in a truck with so many colors, its a great experience.","['idea', 'Food trucks', 'experience']","['positive', 'positive', 'positive']"
"Good application, but could improve, especially at the time of synchronization, sometimes it generates an error when downloading the songs
Star; 4","['downloading', 'time of synchronization']","['negative', 'negative']"
"Good attention, but the menu did not have many options.","['menu', 'attention']","['negative', 'positive']"
"Good hotel, the attention is very bad, they do not have room service and the bathroom is extremely small.","['attention', 'room service', 'bathroom']","['negative', 'negative', 'negative']"
"Good service, efficient and with the best prices on the market.","['service', 'prices']","['positive', 'positive']"
"Great battle system and all in all, utterly engrossing.",['battle system'],['positive']
"Great content, categories, and variety of material o choose from and nice service to the customer also.","['content', 'service to the customer', 'categories', 'and variety of material']","['positive', 'positive', 'positive', 'positive']"
Great customer service and easy to contact if something does go wrong.,"['contact', 'customer service']","['positive', 'positive']"
Has it's best own range products and has the best delivery service.,"['delivery service', 'own range products']","['positive', 'positive']"
Has the best range of both products and promotions in tandem.,['range of both products and promotions'],['positive']
"Has the best range of frozen foods or the best price, a little bare when it comes to more fresh offerings.","['fresh offerings', 'range of frozen foods', 'price']","['negative', 'positive', 'positive']"
He prescribed some medicines that helped me a lot.,"['medicines', 'He']","['positive', 'positive']"
He was right.,['He'],['positive']
His articulation has improved and now he sounds much clearer and his volume is louder.,"['articulation', 'he', 'sounds', 'volume']","['positive', 'positive', 'positive', 'positive']"
