sentence,aspect_category,polarity
   ,LAPTOP#GENERAL,positive
10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive
super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive
super fast processor and really nice graphics card..,GRAPHICS#GENERAL,positive
and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive
This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive
This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#USABILITY,positive
I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,CPU#OPERATION_PERFORMANCE,positive
the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive
the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#OPERATION_PERFORMANCE,positive
i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive
and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive
and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#QUALITY,positive
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#USABILITY,positive
"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive
"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#PORTABILITY,positive
"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#MISCELLANEOUS,positive
I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive
I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#QUALITY,positive
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive
Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative
My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative
Not easy to carry.,LAPTOP#PORTABILITY,negative
The battery has never worked well.,BATTERY#QUALITY,negative
The battery has never worked well.,BATTERY#OPERATION_PERFORMANCE,negative
The battery gets so HOT it is scary.,BATTERY#QUALITY,negative
"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative
I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative
"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative
Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative
"Well, they don't care a bunch.",SUPPORT#QUALITY,negative
"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative
I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative
"In my house, HP is a nasty word.",COMPANY#GENERAL,negative
"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive
The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive
"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral
"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#DESIGN_FEATURES,neutral
I have not have any problems.,LAPTOP#GENERAL,positive
"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive
Its still going.,LAPTOP#QUALITY,positive
It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive
This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive
You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive
It can't get any better.,LAPTOP#GENERAL,positive
"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive
Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive
This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive
This laptop meets every expectation and Windows 7 is great!,OS#GENERAL,positive
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#USABILITY,positive
"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#CONNECTIVITY,positive
It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral
I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive
"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive
"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive
"Most everything is fine with this machine: speed, capacity, build.",HARD_DISC#DESIGN_FEATURES,positive
"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#QUALITY,positive
"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative
I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive
I bought it for really cheap also and it's AMAZING.,LAPTOP#GENERAL,positive
Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive
"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#CONNECTIVITY,positive
I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive
I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#QUALITY,positive
"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral
The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive
The unibody design is edgy and durable.,LAPTOP#QUALITY,positive
The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive
I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive
I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,LAPTOP#USABILITY,positive
A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#OPERATION_PERFORMANCE,positive
It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative
It's more expensive but well worth it in the long run.,LAPTOP#GENERAL,positive
"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive
"Great product, very easy to use and great graphics.",LAPTOP#USABILITY,positive
"Great product, very easy to use and great graphics.",GRAPHICS#GENERAL,positive
"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative
"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive
"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#PRICE,neutral
It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive
It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#OPERATION_PERFORMANCE,positive
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#PORTABILITY,positive
I'm very happy with this machine!,LAPTOP#GENERAL,positive
"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive
"I love the size, keyboard, the functions.",KEYBOARD#GENERAL,positive
"I love the size, keyboard, the functions.",LAPTOP#OPERATION_PERFORMANCE,positive
I don't really have a complaint.,LAPTOP#GENERAL,positive
"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive
"It is easy to use, good quality and good price.",LAPTOP#QUALITY,positive
"It is easy to use, good quality and good price.",LAPTOP#PRICE,positive
Perfect trifecta!,LAPTOP#GENERAL,positive
I would recommend this product.,LAPTOP#GENERAL,positive
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,LAPTOP#GENERAL,negative
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral
The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative
If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative
I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative
Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative
I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative
I can guarantee this will be the last Dell I will ever purchase!,COMPANY#GENERAL,negative
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,SUPPORT#QUALITY,negative
I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
"So far, a great product.",LAPTOP#GENERAL,positive
"High price tag, however.",LAPTOP#PRICE,negative
Still trying to learn how to use it.,LAPTOP#USABILITY,neutral
it is the worst computer dell ever made.,LAPTOP#GENERAL,negative
it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative
it is hard to fix and makes it a hassle to own one.,LAPTOP#GENERAL,negative
breaks easily.,LAPTOP#QUALITY,negative
only good thing is the graphics quality.,GRAPHICS#QUALITY,positive
There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive
There are so many wonderful features and benefits to the new MacBook!,LAPTOP#GENERAL,positive
No Viruses!,LAPTOP#QUALITY,positive
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive
This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#USABILITY,positive
I am loyal to Apple.,COMPANY#GENERAL,positive
I am very Happy!,LAPTOP#GENERAL,positive
This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative
Acer won't replace the laptop.,SUPPORT#QUALITY,negative
the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative
This thing is a lemon.,LAPTOP#QUALITY,negative
This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,SUPPORT#QUALITY,positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",LAPTOP#OPERATION_PERFORMANCE,positive
It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral
