text,aspect,opinion,sentiment
Serves really good sushi .,['sushi'],['good'],['POS']
Not the biggest portions but adequate .,"['portions', 'portions']","['Not the biggest', 'adequate']","['NEU', 'NEU']"
Green Tea creme brulee is a must !,['Green Tea creme brulee'],['must'],['POS']
It has great sushi and even better service .,"['sushi', 'service']","['great', 'better']","['POS', 'POS']"
The entire staff was extremely accomodating and tended to my every need .,['staff'],['accomodating'],['POS']
The owner is belligerent to guests that have a complaint .,['owner'],['belligerent'],['NEG']
Good food !,['food'],['Good'],['POS']
This is a great place to get a delicious meal .,['meal'],['delicious'],['POS']
The staff is pretty friendly .,['staff'],['friendly'],['POS']
The onion rings are great !,['onion rings'],['great'],['POS']
"The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns , the few they actually give you ... ..were not good .","['lemon chicken', 'honey walnut prawns']","['sticky sweet', 'not good']","['NEG', 'NEG']"
"Nice ambience , but highly overrated place .","['ambience', 'place']","['Nice', 'overrated']","['POS', 'NEG']"
Worst Service I Ever Had,['Service'],['Worst'],['POS']
Everyone that sat in the back outside agreed that it was the worst service we had ever received .,['service'],['worst'],['NEG']
"Our waiter was non-existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .",['waiter'],['non-existent'],['NEG']
"I complained to the manager , but he was not even apologetic .",['manager'],['not even apologetic'],['NEG']
Fabulous Italian Food !,['Italian Food'],['Fabulous'],['POS']
– I highly recommend Mioposto .,['Mioposto'],['recommend'],['POS']
I am so happy to have a wonderful Italian restaurant in my neighborhood .,['Italian restaurant'],['wonderful'],['POS']
The wine list is wonderful and the food reminds me of my recent trip to Italy .,['wine list'],['wonderful'],['POS']
I love this restaurant,['restaurant'],['love'],['POS']
"– I will never forget the amazing meal , service , and ambiance I experience at this restaurant .","['meal', 'service', 'ambiance']","['amazing', 'amazing', 'amazing']","['POS', 'POS', 'POS']"
"The wine list is incredible and extensive and diverse , the food is all incredible and the staff was all very nice , good at their jobs and cultured .","['wine list', 'wine list', 'wine list', 'food', 'staff']","['incredible', 'extensive', 'diverse', 'incredible', 'nice']","['POS', 'POS', 'POS', 'POS', 'POS']"
The food was great !,['food'],['great'],['POS']
"– In a age of incremental cost cutting in restaurants , its nice to see a place that bucks that trend , and just plain delivers high quality food and good service , period .","['food', 'service']","['high quality', 'good']","['POS', 'POS']"
This is the place to relax and enjoy the finest quality food the industry can offer .,"['place', 'food']","['relax', 'finest quality']","['POS', 'POS']"
Caution - its real food for people who love the best .,"['food', 'food']","['real', 'best']","['POS', 'POS']"
I liked the atmosphere very much but the food was not worth the price .,"['atmosphere', 'food']","['liked', 'not worth the price']","['POS', 'NEG']"
I may not be a sushi guru but I can tell you that the food here is just okay and that there is not much else to it .,['food'],['okay'],['NEG']
"Rice is too dry , tuna was n't so fresh either .","['Rice', 'tuna']","['too dry', ""was n't so fresh""]","['NEG', 'NEG']"
I have eaten here three times and have found the quality and variety of the fish to be excellent .,['fish'],['excellent'],['POS']
"However , the value and service are both severely lacking .",['service'],['lacking'],['NEG']
"Furthermore , while the fish is unquestionably fresh , rolls tend to be inexplicably bland .","['fish', 'rolls']","['fresh', 'bland']","['POS', 'NEG']"
The service ranges from mediocre to offensive .,"['service', 'service']","['mediocre', 'offensive']","['NEG', 'NEG']"
"On a recent trip , our waiter was extremely dismissive , while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby .",['waiter'],['dismissive'],['NEG']
Freshest sushi – I love this restaurant .,"['sushi', 'restaurant']","['Freshest', 'love']","['POS', 'POS']"
They pay such detail to everything from miso soup to complex rolls .,['rolls'],['complex'],['POS']
The sashimi was the freshest and most tender I have ever tasted .,"['sashimi', 'sashimi']","['freshest', 'tender']","['POS', 'POS']"
Their apps are all delicious .,['apps'],['delicious'],['POS']
The only drawback is that this place is really expensive and the portions are on the small side .,['place'],['expensive'],['NEG']
"But the space is small and lovely , and the service is helpful .","['space', 'space', 'service']","['small', 'lovely', 'helpful']","['POS', 'POS', 'POS']"
– The food was not great & the waiters were rude .,"['food', 'waiters']","['not great', 'rude']","['NEG', 'NEG']"
great service,['service'],['great'],['POS']
my service was stellar !,['service'],['stellar'],['POS']
"food was fine , with a some little-tastier-than-normal salsa .",['food'],['fine'],['POS']
"the food was great , the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me .","['food', 'margaritas', 'waitress']","['great', 'great', 'too busy']","['POS', 'POS', 'NEG']"
Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place .,['pizza place'],['great'],['POS']
Best Sushi in town .,['Sushi'],['Best'],['POS']
The best calamari in Seattle !,['calamari'],['best'],['POS']
– ... and the best summertime deck experience -- they will even bring you a blanket if you get cold in the Seattle evening weather .,['deck'],['best'],['POS']
A perfect place to take out of town guests any time of the year .,['place'],['perfect'],['POS']
"Endless fun , awesome music , great staff ! ! !","['music', 'staff']","['awesome', 'great']","['POS', 'POS']"
– By far the best bar in the east village ...,['bar'],['best'],['POS']
Great draft and bottle selection and the pizza rocks .,['draft and bottle selection'],['Great'],['POS']
Definitely has one of the best jukebox 's i 've seen in a long long time .,"[""jukebox 's""]",['best'],['POS']
"The food is great , the bartenders go that extra mile .",['food'],['great'],['POS']
The owners are great fun and the beer selection is worth staying for .,"['owners', 'beer selection']","['great', 'worth staying for']","['POS', 'POS']"
And the upstairs is a great place to hang out .,['upstairs'],['great'],['POS']
"Not alot of smoking places left in New York , but I have found my favorite smoking balconey in the city .",['balconey'],['favorite'],['POS']
The sushi here is delicious !,['sushi'],['delicious'],['POS']
They have a wide variety of fish and they even list which oceans they come from ; Atlantic or Pacific .,['fish'],['wide variety'],['POS']
"I 've had the Jellyfish , Horse Mackerel , Blue Fin Tuna and the Sake Ikura roll among others , and they were all good .","['Jellyfish', 'Horse Mackerel', 'Blue Fin Tuna', 'Sake Ikura roll']","['good', 'good', 'good', 'good']","['POS', 'POS', 'POS', 'POS']"
"The decor is rustic , traditional Japanese .","['decor', 'decor']","['rustic', 'traditional Japanese']","['NEU', 'NEU']"
The service was courteous and attentive .,"['service', 'service']","['courteous', 'attentive']","['POS', 'POS']"
Mediocre food,['food'],['Mediocre'],['NEU']
The outside patio area has an abbreviated menu .,['menu'],['abbreviated'],['NEU']
My g/f and I both agreed the food was very mediocre especially considering the price .,['food'],['mediocre'],['NEG']
"We are locals , and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists .",['food'],['average'],['NEG']
Service was decent .,['Service'],['decent'],['NEU']
Drinks were good .,['Drinks'],['good'],['POS']
"Excellent food , nice ambience , fairly expensive","['food', 'ambience']","['Excellent', 'nice']","['POS', 'POS']"
