sentence Id,sentence,aspect_term,polarity
1,"i agree about arafat . i mean , shit , they even gave one to jimmy carter ha . it should be called '' the worst president '' prize .",['jimmy carter'],['negative']
2,musicmonday britney spears - lucky do you remember this song ? it ` s awesome . i love it .,['britney spears'],['positive']
3,"wtf ? hilary swank is coming to my school today , just to chill . lol wow",['hilary swank'],['neutral']
4,my 3-year-old was amazed yesterday to find that ' real ' 10 pin bowling is nothing like it is on the wii ...,['wii'],['neutral']
5,God damn . That Sony remote for google is fucking hideeeeeous !,['google'],['negative']
6,listening 2 '' 3 '' by ms britney spears cant wait 4 the video on oct . 19 you guys need 2 love her new single also buy her single collection nov . 24 !,['britney spears'],['positive']
7,gerard butler is hot ... 1 . his accent 2 . that romantic movie with hilary swank where he was dead 3 . sex scene in the 300,['hilary swank'],['neutral']
8,"no one likes pe at school . all pupils should have to do it in the traditional way . wii fit is fun but in schools , madness",['wii'],['neutral']
9,izašao je you '' videoteci '' novi harry potter i public enemy : -RRB-,['harry potter'],['negative']
10,3 by britney spears is an amazing song,['britney spears'],['positive']
11,"people whose reactions I 'd appreciate this morning : bill clinton 's , hillary clinton ' is ... george bush 's -LRB- latter for completely difference reasons -RRB-",['hillary clinton'],['neutral']
12,NowPlaying lady gaga - let love down,['lady gaga'],['neutral']
13,The obama domestic genocide hug .,['obama'],['negative']
14,"Paramore , incubus , justin timberlake , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow",['justin timberlake'],['positive']
15,okay maybe just a little shocked xD omg nicolerichie the madonna fans are outraged at what you did,['madonna'],['neutral']
16,he might have got the nobel prize just for not being george bush,['george bush'],['neutral']
17,"People i followed today '' Omarion , Natalie Nunn and any PAST BGC cast , Chingy and perez hilton '' what a list of Wackness",['perez hilton'],['negative']
18,tomorrow we have art class ! love it ! lsning to britney spears - piece of me,['britney spears'],['positive']
19,Waitrose dumps Fox News in protest over -LSB- Glen Beck -RSB- remarks about barack obama,['barack obama'],['neutral']
20,"downloaded blacksn0w for my iphone . the jailbroken features are cool , but the bugs and connection problems are n't worth it .",['iphone'],['neutral']
21,nicki minaj has brought back the female rapper . - really ? nicki minaj is the biggest parody in popular music since the Lonely Island .,['nicki minaj'],['negative']
22,my day off after a wedding consist of wii zelda and chinese food . i feel like i 'm in jr high . this rocks !!,['wii'],['positive']
23,7 inch touch screen 2 din in dash car dvd player with television bluetooth gps ipod function dual zone szc1085 : o . .,['ipod'],['neutral']
24,"do n't get me wrong , i am a huge obama supporter but it feels forced or like an '' at least you 're not george bush award ''",['george bush'],['neutral']
25,FF MarkieAi Likes animals . Hates spiders . Hates charlie sheen . Likes cookies .,['charlie sheen'],['negative']
26,ESPN Soccer Net News Ardiles backs maradona for World Cup glory,['maradona'],['positive']
27,There 's a firefighter in my class who looks just like anderson cooper but buffer and supposedly straight . notcomplaining,['anderson cooper'],['neutral']
28,-LSB- happy birthday git * git ! -RSB- ily ! ... some reason im very tired ! but today was really fun ! :-RRB- ugh my ipod died !,['ipod'],['neutral']
29,"`` SkyJacquie : Is everyone happy jt is back as England Captain ? '' NO ! It 's a farce but that 's England . Capello , another expensive FA failure",['jt'],['negative']
30,omg !! google wave is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .,['google wave'],['positive']
31,barack obama and John McCain clash over Afghanistan strategy : barack obama reacted angrily after John McCain a . .,['barack obama'],['neutral']
32,do you know how to convert youtube videos to psp compatible ones through linux command ? thank you in advance : -RRB-,['psp'],['neutral']
33,`` FrameMaker has detected a serious error and must quit . '' So how long has sarah palin been writing code for Adobe ?,['sarah palin'],['negative']
34,hilary swank as amelia earhart is actually pretty great casting .,['hilary swank'],['positive']
35,they even have red costumes on like britney spears,['britney spears'],['neutral']
36,psp is being a brat with text . can someone add some writing on something for me right quick ? does n't need to be pretty .,['psp'],['neutral']
37,ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to shaq 's art creation,['shaq'],['negative']
38,The dave matthews Band is so damn good . Give me the Chili Peppers and dave matthews Band and I 'm set for a very long while . RHCP DMB,['dave matthews'],['positive']
39,press start : the faces of ' ballad of gay tony ' ; wii update woes extract not available .,['wii'],['neutral']
40,i love bad romance and fashion and 3 by britney spears i love you both lady gag too girl ! her concerts r better than the record !!,['britney spears'],['neutral']
41,Video : serena williams gets x-rated for new tennis game ad ! .,['serena williams'],['negative']
42,"I love anderson cooper ; he is so sensible , honorable and reliable as always . ac360",['anderson cooper'],['positive']
43,shorty like a melody in my head that i keep singing like la la la everyday like an ipod stuck in replay :-RRB- love that song,['ipod'],['neutral']
44,bought one of those rechargable iphone backup battery packs ... no more fear : - -RRB-,['iphone'],['neutral']
45,". probably the most insightful , eloquent , and intelligent interview i 've ever seen . russell brand an intellectual ? damn",['russell brand'],['negative']
46,~ I am an ' Independent Thinker ' and President R . Reagan was a great president . ... I support sarah palin .,['sarah palin'],['positive']
47,"-LSB- gwaveblogs -RSB- ultimate list of google wave gadgets and tools - google wave , google wave extension , google wave gadge ...",['google wave'],['neutral']
48,Rumors Swirl About Biden Sleeping During Obama Speech : Vice President joe biden was caught with his eyes closed ... .,['joe biden'],['neutral']
49,omg what has the world come to !? they sang britney spears !!!! awful !!!! :,['britney spears'],['negative']
50,"good to see britney spears the top of the charts again , she needs a break i think , but i hope she can handle the success this time . .",['britney spears'],['positive']
51,best joke of the day : justin bieber is gay : D,['justin bieber'],['neutral']
52,"Guy Ritchie has revealed he has struggled to cope with his divorce from madonna , and admits he still loves her .",['madonna'],['neutral']
53,"wow , lindsay lohan is looking like garbage . what 's she doing to herself ?",['lindsay lohan'],['negative']
54,- this is sad because i actually love lindsay lohan ... what happen ????,['lindsay lohan'],['positive']
55,I sure would love to meet the guy who created the first computer . . bill gates brother . . lol,['bill gates'],['neutral']
56,you doing police training on 7pm project last night was funny shit . you are a funny bugger . good luck with iphone,['iphone'],['neutral']
57,LMAO i know !! i dnt like harry potter he 's so English !! hehehe its raining here too SMDH,['harry potter'],['negative']
58,"i love britney spears . yes , i said it .",['britney spears'],['positive']
59,"e ainda : oh novo clipe do the all american rejects - '' i wan na '' , bandahori , dionne bromfield , britney spears , beyonce e lady gag",['britney spears'],['neutral']
60,"celeb rumors update ! , hilary swank wants a baby -",['hilary swank'],['neutral']
61,Fox : High-Profile Conservative Group Files Lawsuit Against obama Administration Over Health Care Waivers .,['obama'],['negative']
62,"i love harry potter , but i have to agree with anderson . feminism is not a leading theme in the series ...",['harry potter'],['positive']
63,"ahH Harvey why would you ever want to kiss ryan seacrest ass ? i hate ass-kissers , don scoop that low TMZ",['ryan seacrest'],['neutral']
64,How could barack obama get that Nobel Price ! His preach about a world without nuclear weapon is just pure rhetoric !,['barack obama'],['neutral']
65,i don think any of britney spears ' new music can even be classified as singing ... it 's all computerized !,['britney spears'],['negative']
66,really liking the new britney spears and mj songs : -RRB-,['britney spears'],['positive']
67,"she deserves a NPP Thank you Secretary of State hillary clinton , for helping us resolve the feud ! =",['hillary clinton'],['neutral']
68,woohoo . just got my google wave invite . thank you toddramsey .,['google wave'],['neutral']
69,"This is bad , real bad ... micheal jackson ...",['micheal jackson'],['negative']
70,"Thank you President obama for passing healthcare reform ! with out extension to 26 , I 'd have no healthcare . heathcarereformbirthday",['obama'],['positive']
71,- 11/07/09 : xbox 360 men 's sleep shorts ? yes please . so much stuff at the tucson comic-con .,['xbox'],['neutral']
72,"My last 3 downloads were Good Charlotte , katy perry and Adele . I think I may be turning into a 13 year old girl . Got ta buy some lip gloss .",['katy perry'],['neutral']
73,Photo : lovelyasadove : I do n't like lady gaga at all ! She is a true devilworshiper ! I just do n't like her ! I 'm ... .,['lady gaga'],['negative']
74,"do n't know if anyone is doing it , but google wave seems to be a good place for newsrooms to collaborate in real-time for elections .",['google wave'],['positive']
75,new post : wii perfect shot gun -LRB-,['wii'],['neutral']
76,I remember when i used to make micheal jackson jokes on the phone with bleahr ... Ahhhh those where the good days ...,['micheal jackson'],['neutral']
77,kraima I thought all the micheal jackson faces were going to melt plucka - lucky one was a Plastic Surgeon ... ha !!!,['micheal jackson'],['negative']
78,listening to britney spears ' 3 ! awesome song . sounds like an orgasm !,['britney spears'],['positive']
79,"Former AMA Presidents Offer Second Opinion : President barack obama pitched his health care reform plan , again , . .",['barack obama'],['neutral']
80,"i realize i can do all that if i jailbreak it , but i should n't have to do that and suffer as an honest iphone user .",['iphone'],['neutral']
81,i HATE harry potter,['harry potter'],['negative']
82,"Rick Ross feat . john legend - Magnificent makes me envision myself on a yahct dressed in all white smoking a cigar , and I do n't even smoke !",['john legend'],['positive']
83,Reading right now - ' martha stewart Weddings ' chapter on flowers . I 'm in creative inspirational heaven ! - What are you reading right now ?,['martha stewart'],['neutral']
84,britney spears bikini pictures are not bad,['britney spears'],['neutral']
85,was lindsay lohan ' s ungaro collection really as bad as everyone said - by josh partner - slate magazine,['lindsay lohan'],['negative']
86,- iphone day ! double epic woohoo woohoo ! spint it has been a good run . thanks,['iphone'],['positive']
87,"justin timberlake . Get the N'sync boys back together and marry me . Please . Also , grow your hair curly again and die it blonde . Thanks < 3",['justin timberlake'],['neutral']
88,I just woke up from a dream in which I was shopping with madonna & she tried to set me up with Seth Rogen .,['madonna'],['neutral']
89,aaaaaaaand the lindsay lohan debacle continues ...,['lindsay lohan'],['negative']
90,having a good wii,['wii'],['positive']
91,lindsay lohan ' s day in court | gossipcenter - celebrity gossip and ... : breaking news ; hottest stories ; more gossip . courteney cox : & . .,['lindsay lohan'],['neutral']
